10      90     1         1904259    0.874   1904259    0.874
20      80     1         3748055    0.887   3748054    0.887
30      70     1         5611012    0.892   5611009    0.892
40      60     2         7318387    0.896   7318385    0.896
50      50     2         9431582    0.902   9431580    0.902
55      45     2        10392256    0.906  10392252    0.906
60      40     3        11396274    0.912  11396270    0.912
65      35     3        12444979    0.924  12444979    0.924
70      30     3        13441019    0.961  13441019    0.961
75      25     4        14361664    0.972  14361661    0.972
80      20     5        15368685    0.987  15368680    0.987
82      18     6        15752886    1.011  15752884    1.011
84      16     6        16132087    1.055  16132085    1.055
86      14     7        16519301    1.072  16519299    1.072
88      12     8        16865722    1.077  16865719    1.077
90      10     10       17249746    1.081  17249742    1.081
91      9      11       17465066    1.083  17465061    1.083
92      8      13       17573149    1.084  17573144    1.084
93      7      14       17784454    1.086  17784448    1.086
94      6      17       17985041    1.088  17985036    1.088
95      5      20       18249184    1.091  18249179    1.091
95.5    4.5    22       18326177    1.092  18326171    1.092
96      4      25       18396516    1.093  18396511    1.093
96.5    3.5    29       18519596    1.095  18519591    1.095
97      3      33       18621313    1.097  18621311    1.097
97.5    2.5    40       18705059    1.099  18705056    1.099
98      2      50       18802180    1.102  18802179    1.102
98.5    1.5    67       18923604    1.108  18923604    1.108
99      1      100      19017241     1.12  19017240     1.12
99.1    0.9    111      19037511    1.126  19037511    1.126
99.2    0.8    125      19057267    1.133  19057267    1.133
99.3    0.7    143      19077197    1.143  19077196    1.143
99.4    0.6    167      19095975    1.154  19095973    1.154
99.5    0.5    200      19115638     1.17  19115638     1.17
99.55   0.45   222      19124599     1.18  19124599     1.18
99.6    0.4    250      19134406    1.193  19134406    1.193
99.65   0.35   286      19144095    1.208  19144095    1.208
99.7    0.3    333      19154171    1.229  19154171    1.229
99.75   0.25   400      19163620    1.254  19163620    1.254
99.8    0.2    500      19173368    1.291  19173368    1.291
99.85   0.15   667      19182977    1.381  19182977    1.381
99.9    0.1    1000     19192606     1.56  19192606     1.56
99.91   0.09   1111     19194528    1.608  19194528    1.608
99.92   0.08   1250     19196444    1.671  19196444    1.671
99.93   0.07   1429     19198393    1.758  19198393    1.758
99.94   0.06   1667     19200315    1.869  19200315    1.869
99.95   0.05   2000     19202229    2.006  19202229    2.006
99.96   0.04   2500     19204155     2.16  19204155     2.16
99.965  0.035  2857     19205106    2.228  19205106    2.228
99.97   0.03   3333     19206072    2.302  19206072    2.302
99.975  0.025  4000     19207040    2.374  19207040    2.374
99.98   0.02   5000     19207998    2.448  19207998    2.448
99.985  0.015  6667     19208955    2.544  19208955    2.544
99.99   0.01   10000    19209913    2.664  19209913    2.664
99.995  0.005  20000    19210883    2.832  19210883    2.832
99.996  0.004  25000    19211073    2.864  19211073    2.864
99.9965 0.0035 28571    19211170    2.884  19211170    2.884
99.997  0.003  33333    19211261    2.902  19211261    2.902
99.9975 0.0025 40000    19211357    2.924  19211357    2.924
99.998  0.002  50000    19211456    2.956  19211456    2.956
99.9985 0.0015 66667    19211556    2.996  19211556    2.996
99.999  0.001  100000   19211645    3.032  19211645    3.032
99.9995 0.0005 200000   19211748    3.066  19211748    3.066
99.9999 0.0001 1000000  19211825     3.12  19211825     3.12
